Date,Traffic_Source,Traffic_Medium,Device_Category,Landing_Page,Users,New_Users,Sessions,Pageviews,Bounce_Rate_Pct,Avg_Session_Duration_Sec,Pages_Per_Session,Exit_Rate_Pct,Conversion_Rate_Pct,Transactions,Quantity_Sold,Revenue_KES,Cart_Abandonment_Rate_Pct,Marketing_Cost_KES,ROAS,Customer_Journey_Stage
9/23/2025,Google,Organic,Desktop,Blog,149,113,205,510,57.54,196,2.49,52.38,4.15,9,36,49511.33,71.89,0,,Awareness
1/15/2024,Google,Organic,Desktop,Homepage,141,94,185,525,44.34,276,2.84,48.55,3.49,6,6,33628.32,77.75,0,,Consideration
12/5/2025,Direct,No Media,Mobile,Blog,61,51,86,177,70.44,193,2.06,67.66,0.2,0,0,0,91.56,0,,Awareness
8/17/2024,Instagram,Paid,Desktop,Homepage,565,215,758,2623,34.78,282,3.46,33.54,6.07,46,46,224560.97,70.4,20596.68,10.9,Consideration
8/22/2025,Linkedin,Paid,Desktop,Product_Page,293,80,317,1252,30.19,274,3.95,32.37,4.42,14,28,34873.29,77.36,14680.79,2.38,Consideration
6/12/2024,Facebook,Paid,Desktop,Homepage,283,60,325,1290,40.03,283,3.97,34.81,4.11,13,13,42493.61,70.32,7578.27,5.61,Consideration
1/29/2025,Instagram,Paid,Desktop,Homepage,242,65,348,1124,47.04,234,3.23,47.49,3.66,13,26,69167.1,70.95,9509.22,7.27,Consideration
9/10/2025,Email,Newsletter,Desktop,Product_Page,316,134,382,1562,26.87,294,4.09,26.33,5.89,22,88,116947.62,69.09,0,,Decision
8/23/2022,Instagram,Paid,Mobile,Product_Page,409,89,495,1158,60.72,186,2.34,64.99,1.44,7,21,27064.05,88.6,11212.92,2.41,Consideration
3/26/2025,Facebook,Paid,Tablet,Category_Page,483,155,513,1462,54.33,207,2.85,49.16,1.58,8,8,35112.72,88.29,8841.15,3.97,Consideration
9/5/2025,Youtube,Paid,Desktop,Category_Page,507,227,621,2546,30.15,324,4.1,27.8,5.75,36,36,109724.22,68.56,16067.46,6.83,Awareness
12/17/2022,Tiktok,Paid,Desktop,Product_Page,368,302,409,1489,43.98,267,3.64,41.29,5.88,24,24,81247.23,67.49,3457.8,23.5,Awareness
10/10/2023,Google,Organic,Desktop,Promo_Page,234,204,284,1235,23.21,339,4.35,22.29,8.38,24,24,139615.97,57.02,0,,Decision
1/28/2023,Youtube,Paid,Mobile,Category_Page,464,150,653,1535,57.82,230,2.35,63.42,2.01,13,13,31968.07,82.91,25511.84,1.25,Awareness
7/10/2022,Google,Organic,Desktop,Homepage,175,114,226,854,33.21,289,3.78,28.68,3.65,8,8,45690.81,72.89,0,,Consideration
9/16/2022,Linkedin,Paid,Mobile,Product_Page,478,106,559,1168,61.7,169,2.09,61.16,1.03,6,6,10283.71,86.79,21953.9,0.47,Consideration
11/13/2022,Facebook,Paid,Mobile,Category_Page,385,136,453,1096,66.76,155,2.42,59.8,1.31,6,6,26700.78,85.4,5528.37,4.83,Consideration
7/13/2024,Facebook,Paid,Desktop,Product_Page,203,79,223,780,43.4,261,3.5,37.47,4.06,9,18,43357.46,78.58,2986.36,14.52,Consideration
5/20/2023,Linkedin,Paid,Desktop,Promo_Page,232,85,247,1047,22.94,335,4.24,20,6.35,16,16,111217.84,61.61,14017.8,7.93,Decision
11/23/2023,Google,Organic,Desktop,Homepage,381,337,429,2102,25.2,298,4.9,27.4,4.63,20,20,72660.69,66.53,0,,Consideration
2/2/2025,Instagram,Paid,Mobile,Promo_Page,372,139,423,1870,32.8,325,4.42,31.55,6.66,28,28,137902.37,59.65,10863.47,12.69,Decision
7/9/2024,Facebook,Paid,Desktop,Promo_Page,558,149,659,2933,25.73,333,4.45,27.78,8.1,53,53,287360.85,55.21,9702.69,29.62,Decision
1/31/2022,Affiliate,Cpc,Tablet,Category_Page,66,17,75,206,50.08,235,2.74,50.56,3.1,2,4,8362.59,78.77,1535.44,5.45,Consideration
9/5/2025,Google,Organic,Desktop,Product_Page,492,431,684,2476,41.32,264,3.62,41.9,5.92,40,120,190235.59,67.81,0,,Consideration
7/31/2023,Tiktok,Paid,Mobile,Product_Page,469,413,555,1276,59.57,234,2.3,59.22,2.51,14,56,39791.84,84.35,4551.85,8.74,Awareness
10/19/2025,Google,Organic,Desktop,Product_Page,72,53,85,321,44.04,293,3.78,38.46,3.05,3,12,18505.94,76.05,0,,Consideration
8/23/2024,Email,Newsletter,Mobile,Product_Page,371,97,478,994,65.06,158,2.08,69.03,4.34,21,84,69055.09,70.36,0,,Decision
10/24/2024,Facebook,Paid,Desktop,Homepage,118,35,164,579,37.45,244,3.53,38.38,3.74,6,12,33577.91,74.28,3278.72,10.24,Consideration
8/9/2022,Facebook,Paid,Desktop,Category_Page,406,80,498,2067,37.47,263,4.15,38.49,2.95,15,45,68898.08,81.19,11722.87,5.88,Consideration
2/6/2024,Google,Organic,Desktop,Homepage,309,237,394,1190,45.69,218,3.02,45.95,5.19,20,40,64905.16,74.11,0,,Consideration
9/21/2022,Tiktok,Paid,Mobile,Homepage,160,128,183,571,44.25,230,3.12,44.82,2.28,4,12,9766.18,79.5,1923.55,5.08,Awareness
3/16/2023,Instagram,Paid,Mobile,Product_Page,596,265,678,1932,49.5,260,2.85,45.02,2.39,16,48,69846.1,83.15,10477.71,6.67,Consideration
9/21/2025,Instagram,Paid,Mobile,Product_Page,164,39,204,524,60.79,177,2.57,54.78,1.86,4,16,16190.06,86.61,4070.97,3.98,Consideration
8/5/2023,Google,Organic,Mobile,Product_Page,521,371,737,1614,63.93,185,2.19,70.26,2.47,18,36,32008.64,81.8,0,,Consideration
4/17/2025,Google,Organic,Mobile,Homepage,298,203,401,918,59.79,247,2.29,59.63,1.63,7,7,24297.69,87.9,0,,Consideration
3/1/2024,Youtube,Paid,Desktop,Homepage,424,126,502,1682,37.32,287,3.35,32.92,4.86,24,24,72661.42,75.82,12971.37,5.6,Awareness
7/4/2025,Direct,No Media,Mobile,Homepage,404,292,534,1324,63.97,196,2.48,63.62,1.7,9,9,33390.03,79.04,0,,Consideration
7/20/2025,Instagram,Paid,Mobile,Blog,131,31,166,309,65.59,204,1.86,63.26,0.2,0,0,0,89.56,5738.19,0,Awareness
1/30/2025,Linkedin,Paid,Mobile,Promo_Page,414,163,526,1631,46.04,250,3.1,48.36,6.6,35,70,144878.2,64.61,23616.77,6.13,Decision
5/18/2024,Email,Newsletter,Desktop,Homepage,318,92,381,1231,38.62,304,3.23,41.03,6.28,24,48,152637.95,67.13,0,,Consideration
9/17/2023,Affiliate,Cpc,Desktop,Category_Page,291,89,395,1509,39.84,294,3.82,42.57,4.13,16,32,92788.05,79.23,4163.18,22.29,Consideration
5/28/2022,Direct,No Media,Desktop,Product_Page,215,169,256,896,49.35,234,3.5,49.01,3.4,9,18,41683.71,80.53,0,,Retention
8/2/2024,Email,Newsletter,Desktop,Promo_Page,185,28,241,1183,21.01,292,4.91,22.09,8.81,21,84,80901.62,51.4,0,,Decision
9/8/2023,Google,Organic,Desktop,Homepage,410,311,493,1903,43.28,259,3.86,40.2,5.24,26,26,110008.71,70.5,0,,Consideration
2/28/2024,Instagram,Paid,Mobile,Category_Page,119,30,165,266,71.8,197,1.61,63.2,1.39,2,2,6467.99,79.88,3787.87,1.71,Consideration
8/25/2025,Instagram,Paid,Mobile,Promo_Page,309,118,339,1095,43.23,229,3.23,45.51,4.51,15,15,42112.48,72.54,7716.76,5.46,Decision
12/14/2025,Affiliate,Cpc,Mobile,Product_Page,61,19,70,170,58.67,183,2.43,59.97,2.16,2,2,7483.42,84,1134.91,6.59,Decision
1/13/2025,Twitter,Organic,Mobile,Product_Page,361,277,424,1425,47.95,210,3.36,49.71,1.69,7,7,28387.22,77.23,0,,Awareness
6/22/2022,Direct,No Media,Desktop,Product_Page,327,266,447,2159,22.87,311,4.83,22.24,4.7,21,42,84858.92,77.07,0,,Retention
2/14/2023,Affiliate,Cpc,Mobile,Category_Page,338,65,427,1144,64.65,193,2.68,67.29,2.6,11,11,23844.47,74.81,10098.68,2.36,Consideration
3/4/2023,Direct,No Media,Mobile,Promo_Page,512,397,646,2242,43.72,219,3.47,39.22,4.99,32,96,106570.32,74.32,0,,Decision
9/16/2022,Tiktok,Paid,Desktop,Category_Page,293,255,354,1041,50.01,263,2.94,46.12,4.99,18,36,66760,64.88,3301.45,20.22,Awareness
9/7/2024,Direct,No Media,Desktop,Product_Page,158,128,227,851,40.97,232,3.75,35.81,5.52,13,13,49410.42,67.66,0,,Retention
11/16/2023,Linkedin,Paid,Mobile,Homepage,163,53,208,499,65.24,195,2.4,69.24,0.87,2,4,6915.99,90,10950.15,0.63,Consideration
10/29/2023,Linkedin,Paid,Mobile,Homepage,496,75,579,1592,52.91,270,2.75,56.49,3.1,18,36,42466.76,78.92,22470.86,1.89,Consideration
10/21/2022,Facebook,Paid,Mobile,Product_Page,185,37,208,501,54.17,233,2.41,50.77,2.68,6,6,10640.48,81.83,3262.08,3.26,Consideration
2/22/2025,Google,Organic,Mobile,Product_Page,521,365,668,2051,45.87,270,3.07,41.73,1.1,7,21,17579.58,78.46,0,,Consideration
2/11/2025,Twitter,Organic,Mobile,Product_Page,401,344,462,1488,50.88,256,3.22,48.79,1.34,6,24,13700.46,81.35,0,,Awareness
11/4/2022,Affiliate,Cpc,Desktop,Blog,569,229,608,1398,62.48,180,2.3,53.67,2.69,16,32,74228.66,78.65,7006.36,10.59,Awareness
2/2/2022,Instagram,Paid,Desktop,Homepage,584,89,750,2782,37.95,312,3.71,37.98,4.52,34,34,159112.03,67.02,18072.96,8.8,Consideration
10/3/2022,Google,Organic,Tablet,Category_Page,597,533,833,2832,38.31,277,3.4,39.6,3.64,30,60,112232.71,71.41,0,,Consideration
4/16/2022,Twitter,Organic,Mobile,Homepage,454,386,618,1842,59.16,230,2.98,59.12,1.52,9,9,23758.21,77.1,0,,Awareness
6/24/2023,Direct,No Media,Mobile,Product_Page,191,125,233,790,50.52,251,3.39,53.03,0.55,1,2,3338.03,89.61,0,,Retention
12/9/2023,Affiliate,Cpc,Mobile,Category_Page,193,74,229,357,68.31,197,1.56,66.29,1.54,4,4,7237.4,86.21,3538.2,2.05,Consideration
8/17/2022,Facebook,Paid,Mobile,Product_Page,223,44,291,920,51.26,207,3.16,46.89,1.26,4,4,10970.27,81.24,9871.54,1.11,Consideration
5/23/2022,Email,Newsletter,Desktop,Blog,128,25,168,647,41.47,226,3.85,43.54,5.91,10,10,48649.87,68.53,0,,Awareness
12/18/2024,Twitter,Organic,Mobile,Blog,67,46,76,121,69.25,224,1.59,65.04,0.2,0,0,0,91.19,0,,Awareness
11/9/2022,Google,Organic,Desktop,Promo_Page,460,303,518,1979,35.28,314,3.82,34.67,8.03,42,84,270022.76,60.51,0,,Decision
3/11/2024,Google,Organic,Tablet,Promo_Page,550,378,784,3152,40.71,271,4.02,37.23,5.14,40,40,95906.78,64.21,0,,Decision
12/22/2023,Tiktok,Paid,Mobile,Product_Page,313,279,435,1348,45.91,277,3.1,43.41,1.97,9,9,15430.2,84.18,5152.95,2.99,Awareness
4/20/2024,Email,Newsletter,Desktop,Blog,592,153,758,1850,62.59,205,2.44,59.74,4.6,35,35,161823.48,66.27,0,,Awareness
9/10/2024,Linkedin,Paid,Desktop,Category_Page,418,168,524,1803,41.55,249,3.44,43.88,5.53,29,29,105117.13,71.22,27082.78,3.88,Consideration
6/9/2023,Linkedin,Paid,Mobile,Blog,305,131,326,593,63.71,185,1.82,58.12,0.21,1,1,2519.71,85.66,18121.79,0.14,Awareness
2/5/2025,Facebook,Paid,Mobile,Homepage,80,18,101,259,52.11,263,2.56,54.77,3.03,3,3,11700.71,77.29,2296.43,5.1,Consideration
8/4/2024,Tiktok,Paid,Mobile,Homepage,314,279,387,867,62.71,188,2.24,68.15,0.73,3,3,7326.69,85.56,2628.75,2.79,Awareness
10/4/2022,Google,Organic,Tablet,Category_Page,100,74,111,278,59.02,196,2.5,59.74,3.84,4,8,6885.33,76.54,0,,Consideration
10/1/2022,Google,Organic,Mobile,Promo_Page,463,410,628,2418,36.51,306,3.85,32.13,4.58,29,116,106310.68,71.35,0,,Decision
8/16/2025,Tiktok,Paid,Mobile,Product_Page,164,133,189,622,47.91,281,3.29,44.44,1.44,3,3,5324.04,82.64,1583.59,3.36,Awareness
12/6/2025,Facebook,Paid,Desktop,Blog,81,13,106,282,58.76,207,2.66,58.49,4.1,4,16,9485.84,78.4,2384.89,3.98,Awareness
9/24/2023,Instagram,Paid,Mobile,Product_Page,299,102,420,1239,54.66,252,2.95,56.52,1.8,8,8,35245.71,81.58,12886.2,2.74,Consideration
6/18/2022,Instagram,Paid,Mobile,Category_Page,552,141,707,2319,47.29,218,3.28,51.81,3.1,22,22,36982.26,78.78,11927.7,3.1,Consideration
12/20/2022,Facebook,Paid,Mobile,Product_Page,481,123,595,1981,48.84,243,3.33,53.19,1.25,7,28,10584.4,84.28,8927.57,1.19,Consideration
6/3/2025,Email,Newsletter,Mobile,Blog,182,30,191,411,65.26,198,2.15,65.32,3.09,6,12,25343.89,80.48,0,,Awareness
8/22/2022,Tiktok,Paid,Mobile,Blog,297,227,391,1040,60.69,191,2.66,61.7,0.58,2,2,5756.22,86.79,3276.71,1.76,Awareness
12/15/2023,Direct,No Media,Desktop,Category_Page,86,59,120,558,25.31,274,4.65,24.81,3.58,4,4,13171.02,78.98,0,,Consideration
8/28/2023,Email,Newsletter,Desktop,Product_Page,244,104,287,947,44.3,224,3.3,46.44,7.5,22,44,111375.16,59.68,0,,Decision
11/11/2022,Tiktok,Paid,Desktop,Promo_Page,534,386,742,3265,31.35,280,4.4,32.96,8.01,59,118,261525.46,63.91,5934.37,44.07,Awareness
9/29/2025,Instagram,Paid,Desktop,Promo_Page,475,194,570,2907,15,358,5.1,20,6.89,39,39,207298.17,58.54,20189.25,10.27,Decision
6/10/2023,Facebook,Paid,Mobile,Category_Page,110,44,138,322,70.66,162,2.33,66.45,2,3,6,6246.46,80.51,3766.09,1.66,Consideration
6/30/2022,Email,Newsletter,Desktop,Product_Page,176,72,208,890,31.64,298,4.28,33.82,6.15,13,13,48085.12,69.62,0,,Decision
11/10/2022,Google,Organic,Mobile,Promo_Page,592,504,646,2571,32.81,264,3.98,35.71,4.15,27,27,123359.08,76.55,0,,Decision
7/4/2023,Direct,No Media,Mobile,Blog,551,430,635,914,69.74,200,1.44,63.46,1.61,10,10,38253.87,80.29,0,,Awareness
12/5/2022,Google,Organic,Mobile,Category_Page,388,307,538,1727,53.8,191,3.21,54.19,0.55,3,6,6207.12,88.34,0,,Consideration
6/21/2022,Twitter,Organic,Mobile,Homepage,545,472,616,1860,53.46,194,3.02,56.41,2.68,17,17,60316.23,82.67,0,,Awareness
9/26/2025,Email,Newsletter,Mobile,Blog,594,181,772,1312,74.45,195,1.7,64.11,4.37,34,34,120773.05,67.76,0,,Awareness
11/5/2022,Twitter,Organic,Tablet,Product_Page,251,223,278,781,56.46,238,2.81,54.51,3.16,9,18,21765.15,72.31,0,,Awareness
11/20/2022,Google,Organic,Mobile,Product_Page,380,286,414,915,69.63,178,2.21,63.16,2.33,10,10,36257.79,75.87,0,,Consideration
3/9/2024,Direct,No Media,Desktop,Product_Page,522,443,657,2332,38.48,294,3.55,32.92,5.38,35,140,95793.56,71.38,0,,Retention
3/31/2025,Instagram,Paid,Mobile,Homepage,563,86,733,1341,69.9,152,1.83,75.88,2.55,19,19,47552.11,83.58,11880.49,4,Consideration
7/3/2022,Google,Organic,Mobile,Product_Page,286,228,390,1408,47.71,207,3.61,40.57,2.03,8,8,24387.29,85.85,0,,Consideration
11/22/2022,Google,Organic,Tablet,Homepage,219,146,248,699,45.1,270,2.82,44.19,1.74,4,8,14802.42,85.24,0,,Consideration
12/25/2025,Instagram,Paid,Mobile,Category_Page,380,159,402,1202,59.32,246,2.99,61.39,2.86,11,11,29518.3,74.98,13368.52,2.21,Consideration
2/11/2023,Instagram,Paid,Desktop,Blog,552,200,718,2456,48.78,237,3.42,48.08,3.72,27,54,135649.02,75.48,18838.78,7.2,Awareness
4/3/2024,Direct,No Media,Mobile,Product_Page,373,315,441,979,58.21,245,2.22,63.28,0.87,4,4,8908.46,84.71,0,,Retention
6/13/2023,Instagram,Paid,Mobile,Homepage,194,43,280,893,47.65,239,3.19,40.53,0.71,2,2,8315.8,84.85,10574.58,0.79,Consideration
10/24/2024,Google,Organic,Mobile,Homepage,368,298,507,1055,58.19,217,2.08,61.11,0.98,5,10,18052.07,89.64,0,,Consideration
8/28/2025,Instagram,Paid,Mobile,Category_Page,128,22,169,529,44.95,281,3.13,49.06,1,2,2,4707.19,79.62,5437.93,0.87,Consideration
6/5/2025,Instagram,Paid,Mobile,Category_Page,319,127,374,969,52.21,236,2.59,46.1,2.42,9,27,39477.55,83.8,13888.69,2.84,Consideration
1/19/2023,Instagram,Paid,Mobile,Category_Page,527,202,670,1735,49.77,207,2.59,45.7,1.68,11,11,19156.84,77.23,18602.62,1.03,Consideration
5/5/2024,Tiktok,Paid,Desktop,Product_Page,204,140,252,781,50.28,251,3.1,51.93,4.22,11,11,45796.52,74.99,4082.67,11.22,Awareness
12/21/2022,Direct,No Media,Tablet,Promo_Page,431,281,455,1360,42.58,222,2.99,43.36,5.78,26,26,110714.66,73.24,0,,Decision
8/28/2022,Email,Newsletter,Desktop,Homepage,515,199,703,3311,27.7,341,4.71,26.03,6.59,46,138,226639.72,69.32,0,,Consideration
6/18/2023,Youtube,Paid,Mobile,Promo_Page,365,121,454,1230,48.94,272,2.71,42.68,4.86,22,66,110680.85,73.73,12732.32,8.69,Awareness
2/7/2022,Email,Newsletter,Desktop,Product_Page,156,59,182,608,50.21,268,3.34,44.45,4.95,9,9,46034.48,71.83,0,,Decision
3/7/2024,Instagram,Paid,Tablet,Homepage,557,160,758,1910,54.66,237,2.52,59.15,2.47,19,38,29997.86,78.41,28198.94,1.06,Consideration
1/19/2024,Google,Organic,Mobile,Product_Page,543,420,754,2330,49.32,259,3.09,53.71,0.98,7,21,23421.89,84.19,0,,Consideration
12/29/2024,Twitter,Organic,Desktop,Product_Page,281,241,373,1294,36.1,291,3.47,38.78,5.28,20,20,82074.93,66.99,0,,Awareness
11/3/2025,Direct,No Media,Mobile,Homepage,427,364,476,1390,57.06,229,2.92,51.03,1.63,8,16,21508.87,82.44,0,,Consideration
7/30/2022,Youtube,Paid,Desktop,Product_Page,321,136,458,1818,29.1,331,3.97,30.49,5.82,27,27,104590.6,70.32,17611.6,5.94,Awareness
6/11/2023,Linkedin,Paid,Mobile,Blog,305,65,415,622,80.34,144,1.5,70.6,0.2,1,2,4494.78,88.48,23811.94,0.19,Awareness
9/10/2022,Direct,No Media,Mobile,Blog,566,486,597,657,85.77,165,1.1,78.08,0.2,1,2,1864.47,87.71,0,,Awareness
8/15/2025,Instagram,Paid,Mobile,Promo_Page,371,114,510,1734,38.81,290,3.4,40.74,6.38,33,33,175639.5,61.78,7864.13,22.33,Decision
10/7/2024,Google,Organic,Mobile,Product_Page,229,154,284,767,58.73,183,2.7,62.64,2.97,8,16,16608.54,80.14,0,,Consideration
2/24/2023,Facebook,Paid,Desktop,Product_Page,168,59,237,803,52.03,250,3.39,56.79,4.63,11,22,47164.46,73.09,6609.27,7.14,Consideration
7/21/2025,Email,Newsletter,Tablet,Product_Page,503,177,623,1620,54.5,255,2.6,50.21,4.81,30,60,71918.1,73.69,0,,Decision
9/2/2024,Tiktok,Paid,Desktop,Homepage,177,129,240,1154,26.71,312,4.81,26.94,4.41,11,22,61430.82,76.06,2825.09,21.74,Awareness
11/7/2024,Google,Organic,Mobile,Product_Page,576,440,619,1857,53.27,262,3,53.94,1.03,6,12,13729.98,84.92,0,,Consideration
7/20/2024,Tiktok,Paid,Desktop,Product_Page,183,159,217,883,36.15,256,4.07,35.56,3.67,8,16,30752.51,74.86,1139.31,26.99,Awareness
10/2/2022,Email,Newsletter,Mobile,Product_Page,411,132,459,1391,55.69,213,3.03,59.75,3.56,16,16,57846.15,72.85,0,,Decision
7/17/2022,Linkedin,Paid,Mobile,Homepage,578,99,772,2223,57.48,228,2.88,56.02,2.81,22,22,47662.48,77.52,52589.6,0.91,Consideration
8/16/2025,Tiktok,Paid,Mobile,Category_Page,471,375,670,2117,55.1,217,3.16,60.22,2.26,15,15,51684.12,84.96,6413.26,8.06,Awareness
8/28/2023,Facebook,Paid,Mobile,Product_Page,310,89,425,990,57.91,190,2.33,50.3,1.37,6,18,26902.89,78.61,9404.78,2.86,Consideration
2/25/2025,Tiktok,Paid,Mobile,Homepage,312,235,431,866,71.64,165,2.01,62.55,2.39,10,20,27112.02,81.87,2520.81,10.76,Awareness
2/15/2025,Facebook,Paid,Mobile,Homepage,192,47,232,480,59.47,195,2.07,50.79,2.24,5,5,20725.7,79.4,6701.63,3.09,Consideration
7/12/2022,Google,Organic,Mobile,Category_Page,438,364,495,1604,53.67,212,3.24,57.27,3.03,15,15,60260.65,78.95,0,,Consideration
9/5/2023,Youtube,Paid,Desktop,Homepage,112,30,133,618,24.28,278,4.65,22.41,4.68,6,12,22236.05,75.88,2785.02,7.98,Awareness
8/23/2024,Tiktok,Paid,Mobile,Product_Page,556,384,783,2310,52.95,194,2.95,51.35,1.41,11,11,43227.05,84.41,8910.23,4.85,Awareness
3/28/2023,Google,Organic,Mobile,Product_Page,355,269,382,1284,50.83,217,3.36,54.11,1.25,5,5,15369.26,78.46,0,,Consideration
10/29/2025,Google,Organic,Mobile,Promo_Page,372,258,476,1338,51.31,241,2.81,51.4,6.48,31,93,161573.94,66.76,0,,Decision
6/22/2022,Direct,No Media,Desktop,Homepage,108,82,121,495,22.96,352,4.09,25.14,4.07,5,10,21091.32,70.63,0,,Consideration
